method_name,start_line,start_column,file_path,project_name,sql,api,receiver
add,24,0,benchmarks/benchjs/casting.js,Automattic/mongoose,update,add,Comments
model,93,0,benchmarks/benchjs/casting.js,Automattic/mongoose,generic,model,mongoose
add,95,0,benchmarks/benchjs/casting.js,Automattic/mongoose,update,add,suite.a ... \n  }}\n}})
model,39,18,benchmarks/benchjs/delete.js,Automattic/mongoose,generic,model,mongoose
collection,40,18,benchmarks/benchjs/delete.js,Automattic/mongoose,generic,collection,db
create,55,7,benchmarks/benchjs/delete.js,Automattic/mongoose,create,create,User
insert,67,7,benchmarks/benchjs/delete.js,Automattic/mongoose,insert,insert,user
count,74,7,benchmarks/benchjs/delete.js,Automattic/mongoose,select,count,User
count,80,7,benchmarks/benchjs/delete.js,Automattic/mongoose,select,count,user
add,91,5,benchmarks/benchjs/delete.js,Automattic/mongoose,update,add,suite.a ... \n    }})
remove,94,9,benchmarks/benchjs/delete.js,Automattic/mongoose,delete,remove,User
remove,104,9,benchmarks/benchjs/delete.js,Automattic/mongoose,delete,remove,user
add,35,5,benchmarks/benchjs/insert.js,Automattic/mongoose,update,add,Comments
model,103,18,benchmarks/benchjs/insert.js,Automattic/mongoose,generic,model,mongoose
model,104,16,benchmarks/benchjs/insert.js,Automattic/mongoose,generic,model,mongoose
collection,105,18,benchmarks/benchjs/insert.js,Automattic/mongoose,generic,collection,db
collection,106,22,benchmarks/benchjs/insert.js,Automattic/mongoose,generic,collection,db
dropDatabase,109,7,benchmarks/benchjs/insert.js,Automattic/mongoose,delete,dropDatabase,mongoos ... tion.db
add,115,5,benchmarks/benchjs/insert.js,Automattic/mongoose,update,add,suite.a ... \n    }})
create,119,9,benchmarks/benchjs/insert.js,Automattic/mongoose,create,create,User
insert,130,9,benchmarks/benchjs/insert.js,Automattic/mongoose,insert,insert,user
create,141,9,benchmarks/benchjs/insert.js,Automattic/mongoose,create,create,BlogPost
insert,152,9,benchmarks/benchjs/insert.js,Automattic/mongoose,insert,insert,blogpost
add,35,5,benchmarks/benchjs/multiop.js,Automattic/mongoose,update,add,Comments
model,98,18,benchmarks/benchjs/multiop.js,Automattic/mongoose,generic,model,mongoose
model,99,16,benchmarks/benchjs/multiop.js,Automattic/mongoose,generic,model,mongoose
collection,100,18,benchmarks/benchjs/multiop.js,Automattic/mongoose,generic,collection,db
collection,101,22,benchmarks/benchjs/multiop.js,Automattic/mongoose,generic,collection,db
create,120,7,benchmarks/benchjs/multiop.js,Automattic/mongoose,create,create,User
insert,128,7,benchmarks/benchjs/multiop.js,Automattic/mongoose,insert,insert,user
create,135,7,benchmarks/benchjs/multiop.js,Automattic/mongoose,create,create,BlogPost
insert,144,7,benchmarks/benchjs/multiop.js,Automattic/mongoose,insert,insert,blogpost
dropDatabase,179,7,benchmarks/benchjs/multiop.js,Automattic/mongoose,delete,dropDatabase,mongoos ... tion.db
add,185,5,benchmarks/benchjs/multiop.js,Automattic/mongoose,update,add,suite.a ... \n    }})
findOne,190,11,benchmarks/benchjs/multiop.js,Automattic/mongoose,select,findOne,User
create,198,13,benchmarks/benchjs/multiop.js,Automattic/mongoose,create,create,User
findOne,212,11,benchmarks/benchjs/multiop.js,Automattic/mongoose,select,findOne,user
insert,220,13,benchmarks/benchjs/multiop.js,Automattic/mongoose,insert,insert,user
findOne,234,11,benchmarks/benchjs/multiop.js,Automattic/mongoose,select,findOne,BlogPost
create,242,13,benchmarks/benchjs/multiop.js,Automattic/mongoose,create,create,BlogPost
