ID,access_link,conflict,documentation_url,driver_name,file_path,final_value,method_name,possible_qualified_names,project_name,receiver,start_column,start_line,true_positive_tagger_1,true_positive_tagger_2
505,https://github.com/ovh-ux/ovh-chatbot/blob/e3a298abf697106f65219e88f615e6c2b0bcdb27/models/users.model.js#L80,0,"https://mongoosejs.com/docs/api/mongoose.html#mongoose_Mongoose-model 
https://mongoosejs.com/docs/api/connection.html#connection_Connection-model",mongoose,models/users.model.js,TRUE,model,Mongoose.model / Connection.model,ovh-ux/ovh-chatbot,mongoose,18,80,TRUE,TRUE
371,https://github.com/bitpay/bitcore-wallet-service/blob/750172ff7c508a41e612e5ca037094d967964383/lib/storage.js#L43,0,"https://mongoosejs.com/docs/api/connection.html#connection_Connection-collection 
http://mongodb.github.io/node-mongodb-native/3.6/api/GridStore.html#collection 
http://mongodb.github.io/node-mongodb-native/3.6/api/Db.html#collection",mongodb / mongoose,lib/storage.js,TRUE,collection,Connection.collection / GridStore.collection / Db.collection,bitpay/bitcore-wallet-service,this.db,3,43,TRUE,TRUE
691,https://github.com/datatypevoid/ng2-mean-webpack/blob/39112fc8ddee3912fedb755189ef5c522f13f8f5/config/passport.conf.js#L246,0,"https://mongoosejs.com/docs/api/document.html#document_Document-save 
https://mongoosejs.com/docs/api/model.html#model_Model-save 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#save",mongodb / mongoose,config/passport.conf.js,TRUE,save,Document.save / Model.save / Collection.save,datatypevoid/ng2-mean-webpack,newUser,11,246,TRUE,TRUE
696,https://github.com/Trustroots/trustroots/blob/ce9e1bafbcce9adcfe069ddbc010bf53d317f091/bin/fillTestData/Messages.js#L207,0,"https://mongoosejs.com/docs/api/document.html#document_Document-save 
https://mongoosejs.com/docs/api/model.html#model_Model-save 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#save",mongodb / mongoose,bin/fillTestData/Messages.js,TRUE,save,Document.save / Model.save / Collection.save,Trustroots/trustroots,message,17,207,TRUE,TRUE
161,https://github.com/builderbook/builderbook/blob/e90e27c142e9ca9a15aec230feac596942be397b/book/8-end/server/models/Chapter.js#L269,0,https://mongoosejs.com/docs/api/schematype.html#schematype_SchemaType-index,mongoose,book/8-end/server/models/Chapter.js,TRUE,index,SchemaType.index,builderbook/builderbook,mongoSchema,0,269,TRUE,TRUE
174,https://github.com/parse-community/parse-server/blob/7b8d8ddbb0de583621a4d2ede95793c6516bc4c0/src/Controllers/DatabaseController.js#L1339,0,"https://mongoosejs.com/docs/api/model.html#model_Model-count 
https://mongoosejs.com/docs/api/query.html#query_Query-count 
https://mongoosejs.com/docs/api/aggregate.html#aggregate_Aggregate-count 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#count",mongodb / mongoose,src/Controllers/DatabaseController.js,TRUE,count,Model.count / Query.count / Aggregate.count / Collection.count,parse-community/parse-server,this.adapter,23,1339,TRUE,TRUE
795,https://github.com/OpenUserJS/OpenUserJS.org/blob/ac92955e1c9e320055f0be6c6a79c2929cb7725e/controllers/user.js#L301,0,"https://mongoosejs.com/docs/api/model.html#model_Model-find 
https://mongoosejs.com/docs/api/query.html#query_Query-find 
http://mongodb.github.io/node-mongodb-native/3.6/api/BulkOperationBase.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/OrderedBulkOperation.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/UnorderedBulkOperation.html#find",mongodb / mongoose,controllers/user.js,TRUE,find,Model.find / Query.find / BulkOperationBase.find / Collection.find / OrderedBulkOperation.find / UnorderedBulkOperation.find,OpenUserJS/OpenUserJS.org,Comment,31,301,TRUE,TRUE
183,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/handlers/scheduledPay.js#L66,0,https://mongoosejs.com/docs/api/model.html#model_Model-findByIdAndUpdate,mongoose,handlers/scheduledPay.js,TRUE,findByIdAndUpdate,Model.findByIdAndUpdate,EasyERP/EasyERP_open_source,ScheduledPay,9,66,TRUE,TRUE
225,https://github.com/nodemailer/wildduck/blob/8074083f08dabd5dfa3a16f60890d641bad106a8/lib/api/addresses.js#L94,0,https://mongoosejs.com/docs/api/schema.html#schema_Schema-add,mongoose,lib/api/addresses.js,FALSE,add,Schema.add,nodemailer/wildduck,tagSeen,25,94,FALSE,FALSE
734,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/handlers/integration.js#L661,1,"https://mongoosejs.com/docs/api/model.html#model_Model-find 
https://mongoosejs.com/docs/api/query.html#query_Query-find 
http://mongodb.github.io/node-mongodb-native/3.6/api/BulkOperationBase.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/OrderedBulkOperation.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/UnorderedBulkOperation.html#find",mongodb / mongoose,handlers/integration.js,FALSE,find,Model.find / Query.find / BulkOperationBase.find / Collection.find / OrderedBulkOperation.find / UnorderedBulkOperation.find,EasyERP/EasyERP_open_source,ConflictService,20,661,FALSE,TRUE
402,https://github.com/dstroot/skeleton/blob/163a9e2ab067e402758007451b86396fe2e4cc81/controllers/twofactor.js#L424,0,https://mongoosejs.com/docs/api/model.html#model_Model-findById,mongoose,controllers/twofactor.js,TRUE,findById,Model.findById,dstroot/skeleton,User,9,424,TRUE,TRUE
728,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/handlers/journal.js#L12,0,"https://mongoosejs.com/docs/api/document.html#document_Document-save 
https://mongoosejs.com/docs/api/model.html#model_Model-save 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#save",mongodb / mongoose,handlers/journal.js,TRUE,save,Document.save / Model.save / Collection.save,EasyERP/EasyERP_open_source,journal,9,12,TRUE,TRUE
243,https://github.com/variety/variety/blob/a6731b4b944881e866e699460e22fa1369e97b51/spec/BasicAnalysisTest.js#L25,0,https://mongoosejs.com/docs/api/model.html#model_Model-validate,mongoose,spec/BasicAnalysisTest.js,FALSE,validate,Model.validate,variety/variety,results,5,25,FALSE,FALSE
592,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/handlers/import.js#L2314,0,"https://mongoosejs.com/docs/api/document.html#document_Document-update 
https://mongoosejs.com/docs/api/model.html#model_Model-update 
https://mongoosejs.com/docs/api/query.html#query_Query-update 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#update 
http://mongodb.github.io/node-mongodb-native/3.6/api/FindOperators.html#update",mongodb / mongoose,handlers/import.js,TRUE,update,Document.update / Model.update / Query.update / Collection.update / FindOperators.update,EasyERP/EasyERP_open_source,EmployeesModel,13,2314,TRUE,TRUE
109,https://github.com/Trustroots/trustroots/blob/ce9e1bafbcce9adcfe069ddbc010bf53d317f091/modules/statistics/server/controllers/statistics.server.controller.js#L167,0,"https://mongoosejs.com/docs/api/model.html#model_Model-countDocuments 
https://mongoosejs.com/docs/api/query.html#query_Query-countDocuments 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#countDocuments",mongodb / mongoose,modules/statistics/server/controllers/statistics.server.controller.js,TRUE,countDocuments,Model.countDocuments / Query.countDocuments / Collection.countDocuments,Trustroots/trustroots,User,3,167,TRUE,TRUE
697,https://github.com/linagora/openpaas-esn/blob/726b81a4b09caf344c1cd4cc91a127e8dd8fbf61/fixtures/populate/data/configuration.js#L96,0,"https://mongoosejs.com/docs/api/document.html#document_Document-save 
https://mongoosejs.com/docs/api/model.html#model_Model-save 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#save",mongodb / mongoose,fixtures/populate/data/configuration.js,TRUE,save,Document.save / Model.save / Collection.save,linagora/openpaas-esn,configuration,7,96,TRUE,TRUE
66,https://github.com/webiny/webiny-js/blob/2593f45ddb4820e1d222ca62ff1adb32bc04d025/packages/api-plugin-commodo-db-proxy/src/handler.ts#L92,0,http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#insertOne,mongodb,packages/api-plugin-commodo-db-proxy/src/handler.ts,TRUE,insertOne,Collection.insertOne,webiny/webiny-js,db.coll ... ection),35,92,TRUE,TRUE
682,https://github.com/wesbos/Learn-Node/blob/b5090bd3899dd2f20aee45637b461614c5f589f5/stepped-solutions/40/controllers/storeController.js#L48,0,"https://mongoosejs.com/docs/api/document.html#document_Document-save 
https://mongoosejs.com/docs/api/model.html#model_Model-save 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#save",mongodb / mongoose,stepped-solutions/40/controllers/storeController.js,TRUE,save,Document.save / Model.save / Collection.save,wesbos/Learn-Node,(new St ... .body)),23,48,TRUE,TRUE
988,https://github.com/OpenUserJs/OpenUserJS.org/blob/ac92955e1c9e320055f0be6c6a79c2929cb7725e/controllers/scriptStorage.js#L2088,0,"https://mongoosejs.com/docs/api/model.html#model_Model-findOne 
https://mongoosejs.com/docs/api/query.html#query_Query-findOne 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#findOne",mongodb / mongoose,controllers/scriptStorage.js,TRUE,findOne,Model.findOne / Query.findOne / Collection.findOne,OpenUserJs/OpenUserJS.org,Script,3,2088,TRUE,TRUE
748,https://github.com/Trustroots/trustroots/blob/ce9e1bafbcce9adcfe069ddbc010bf53d317f091/bin/admin/dbConsistency.js#L9,0,"https://mongoosejs.com/docs/api/model.html#model_Model-find 
https://mongoosejs.com/docs/api/query.html#query_Query-find 
http://mongodb.github.io/node-mongodb-native/3.6/api/BulkOperationBase.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/OrderedBulkOperation.html#find 
http://mongodb.github.io/node-mongodb-native/3.6/api/UnorderedBulkOperation.html#find",mongodb / mongoose,bin/admin/dbConsistency.js,TRUE,find,Model.find / Query.find / BulkOperationBase.find / Collection.find / OrderedBulkOperation.find / UnorderedBulkOperation.find,Trustroots/trustroots,User,0,9,TRUE,TRUE
500,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/handlers/wTrack.js#L1622,0,https://mongoosejs.com/docs/api/model.html#model_Model-create,mongoose,handlers/wTrack.js,TRUE,create,Model.create,EasyERP/EasyERP_open_source,WTrack,21,1622,TRUE,TRUE
458,https://github.com/NodeBB/NodeBB/blob/072a0e32d80d6270fd05817883ea0318d7388d4e/src/posts/queue.js#L93,0,https://mongoosejs.com/docs/api/model.html#model_Model-create,mongoose,src/posts/queue.js,FALSE,create,Model.create,NodeBB/NodeBB,notifications,26,93,FALSE,FALSE
485,https://github.com/polonel/trudesk/blob/f47bb15527279c87a436da4f1caa49a2fa60adfd/src/settings/defaults.js#L628,0,https://mongoosejs.com/docs/api/model.html#model_Model-create,mongoose,src/settings/defaults.js,TRUE,create,Model.create,polonel/trudesk,SettingsSchema,13,628,TRUE,TRUE
101,https://github.com/weseek/growi/blob/9019381907446705d7994ba46153e2790e7c158e/src/server/routes/apiv3/user-group.js#L193,0,"https://mongoosejs.com/docs/api/model.html#model_Model-exists 
https://mongoosejs.com/docs/api/query.html#query_Query-exists",mongoose,src/server/routes/apiv3/user-group.js,FALSE,exists,Model.exists / Query.exists,weseek/growi,body('n ... .trim(),5,193,FALSE,FALSE
511,https://github.com/EasyERP/EasyERP_open_source/blob/693c2531b8bcb110c4ab8ef649895a5f47c3aed8/models/source.js#L9,0,"https://mongoosejs.com/docs/api/mongoose.html#mongoose_Mongoose-model 
https://mongoosejs.com/docs/api/connection.html#connection_Connection-model",mongoose,models/source.js,TRUE,model,Mongoose.model / Connection.model,EasyERP/EasyERP_open_source,mongoose,5,9,TRUE,TRUE
44,https://github.com/LearningLocker/learninglocker/blob/594ef496d8a9411340404301a55cf95de0079a6d/cli/src/scheduler.js#L19,0,https://mongoosejs.com/docs/api/document.html#document_Document-set,mongoose,cli/src/scheduler.js,FALSE,set,Document.set,LearningLocker/learninglocker,redisClient,21,19,FALSE,FALSE
561,https://github.com/Khelldar/Angular-Express-Train-Seed/blob/d67b9e8e63e95ad14be6eb31d7ea9a7d7a82714d/app/models/User.js#L34,0,"https://mongoosejs.com/docs/api/document.html#document_Document-update 
https://mongoosejs.com/docs/api/model.html#model_Model-update 
https://mongoosejs.com/docs/api/query.html#query_Query-update 
http://mongodb.github.io/node-mongodb-native/3.6/api/Collection.html#update 
http://mongodb.github.io/node-mongodb-native/3.6/api/FindOperators.html#update",mongodb / mongoose,app/models/User.js,FALSE,update,Document.update / Model.update / Query.update / Collection.update / FindOperators.update,Khelldar/Angular-Express-Train-Seed,crypto. ... s.salt),16,34,FALSE,FALSE
492,https://github.com/agenda/agenda/blob/78a08cae9d7f15a6f80e3a907a3a131cab1d28d2/lib/agenda/schedule.ts#L25,0,https://mongoosejs.com/docs/api/model.html#model_Model-create,mongoose,lib/agenda/schedule.ts,FALSE,create,Model.create,agenda/agenda,this,17,25,FALSE,FALSE
