method_name,receiver_type,dbaccess,
addUser,Admin,X,
buildInfo,Admin,X,
command,Admin,V,
listDatabases,Admin,X,
ping,Admin,X,
removeUser,Admin,X,
replSetGetStatus,Admin,X,
serverInfo,Admin,X,
serverStatus,Admin,X,
validateCollection,Admin,V,
batchSize,AggregationCursor,X,
clone,AggregationCursor,X,
close,AggregationCursor,X,
each,AggregationCursor,X,
explain,AggregationCursor,X,
geoNear,AggregationCursor,X,
group,AggregationCursor,X,
hasNext,AggregationCursor,X,
isClosed,AggregationCursor,X,
limit,AggregationCursor,X,
lookup,AggregationCursor,X,
match,AggregationCursor,X,
maxTimesMS,AggregationCursor,X,
next,AggregationCursor,X,
out,AggregationCursor,X,
pause,AggregationCursor,X,
pipe,AggregationCursor,X,
project,AggregationCursor,X,
read,AggregationCursor,X,
redact,AggregationCursor,X,
resume,AggregationCursor,X,
setEncoding,AggregationCursor,X,
skip,AggregationCursor,X,
sort,AggregationCursor,X,
toArray,AggregationCursor,X,
unpipe,AggregationCursor,X,
unshift,AggregationCursor,X,
unwind,AggregationCursor,X,
wrap,AggregationCursor,X,
length,Binary,X,
put,Binary,X,
read,Binary,X,
value,Binary,X,
write,Binary,X,
bulkExecute,BulkOperationBase,V,
execute,BulkOperationBase,V,
finalOptionsHandler,BulkOperationBase,X,
find,BulkOperationBase,V,
handleWriteError,BulkOperationBase,X,
insert,BulkOperationBase,V,
raw,BulkOperationBase,V,
getInsertedIds,BulkWriteResult,X,
getLastOp,BulkWriteResult,X,
getRawResponse,BulkWriteResult,X,
getUpsertedIdAt,BulkWriteResult,X,
getUpsertedIds,BulkWriteResult,X,
getWriteConcernError,BulkWriteResult,X,
getWriteErrorAt,BulkWriteResult,X,
getWriteErrorCount,BulkWriteResult,X,
getWriteErrors,BulkWriteResult,X,
hasWriteErrors,BulkWriteResult,X,
isOk,BulkWriteResult,X,
toJSON,BulkWriteResult,X,
toString,BulkWriteResult,X,
close,ChangeStream,X,
hasNext,ChangeStream,X,
isClosed,ChangeStream,X,
next,ChangeStream,X,
pause,ChangeStream,X,
pipe,ChangeStream,X,
resume,ChangeStream,X,
stream,ChangeStream,X,
unpipe,ChangeStream,X,
abortTransaction,ClientSession,X,
advanceOperationTime,ClientSession,X,
commitTransaction,ClientSession,X,
endSession,ClientSession,X,
equals,ClientSession,X,
incrementTransactionNumber,ClientSession,X,
inTransaction,ClientSession,X,
startTransaction,ClientSession,X,
withTransaction,ClientSession,X,
aggregate,Collection,V,
bulkWrite,Collection,V,
count,Collection,V,
countDocuments,Collection,V,
createIndex,Collection,V,
createIndexes,Collection,V,
deleteMany,Collection,V,
deleteOne,Collection,V,
distinct,Collection,V,
drop,Collection,V,
dropAllIndexes,Collection,V,
dropIndex,Collection,V,
dropIndexes,Collection,V,
