method_name,dbaccess,sql,alterSchema,deprecated
Model.create,TRUE,create,,
Model.createCollection,TRUE,create,,
Model.hydrate,TRUE,create,,
Model.deleteMany,TRUE,delete,,
Model.deleteOne,TRUE,delete,,
Model.prototype.deleteOne,TRUE,delete,,
Model.prototype.remove,TRUE,delete,,
Model.remove,TRUE,delete,,
Query.prototype.deleteMany,TRUE,delete,,
Query.prototype.deleteOne,TRUE,delete,,
Query.prototype.remove,TRUE,delete,,
Document.prototype.execPopulate,TRUE,insert,,
Document.prototype.save,TRUE,insert,,
Model.insertMany,TRUE,insert,,
Model.prototype.save,TRUE,insert,,
Query.prototype.populate,TRUE,insert,,
Model.bulkWrite,TRUE,,,
Document.prototype.populate,TRUE,insert,,
Document.prototype.$getAllSubdocs,TRUE,select,,
Document.prototype.get,TRUE,select,,
Model.aggregate,TRUE,select,,
Model.count,TRUE,select,TRUE,
Model.countDocuments,TRUE,select,,
Model.distinct,TRUE,select,,
Model.exists,TRUE,select,,
Model.find,TRUE,select,,
Model.findById,TRUE,select,,
Model.findOne,TRUE,select,,
Model.geoSearch,TRUE,select,,
Model.mapReduce,TRUE,select,,
Model.populate,TRUE,insert,,
Model.prototype.where,TRUE,select,,
Model.where,TRUE,select,,
Query.prototype.$where,TRUE,select,,
Query.prototype.all,TRUE,select,,
Query.prototype.and,TRUE,select,,
Query.prototype.box,TRUE,select,,
Query.prototype.centerSphere,TRUE,select,,V
Query.prototype.circle,TRUE,select,,
Query.prototype.count,TRUE,select,,V
Query.prototype.countDocuments,TRUE,select,,
Query.prototype.distinct,TRUE,select,,
Query.prototype.elemMatch,TRUE,select,,
Query.prototype.equals,TRUE,select,,
Query.prototype.exists,TRUE,select,,
Query.prototype.find,TRUE,select,,
Query.prototype.findOne,TRUE,select,,
Query.prototype.get,TRUE,select,,
Query.prototype.near,TRUE,select,,
Query.prototype.nor,TRUE,select,,
Query.prototype.or,TRUE,select,,
Query.prototype.orFall,TRUE,select,,
Query.prototype.polygon,TRUE,select,,
Query.prototype.where,TRUE,select,,
Aggregate.prototype.count,TRUE,select,,
Model.findByIdAndDelete,TRUE,select / delete,,
Model.findByIdAndRemove,TRUE,select / delete,,
Model.findOneAndDelete,TRUE,select / delete,,
Model.findOneAndRemove,TRUE,select / delete,,
Query.prototype.findOneAndDelete,TRUE,select / delete,,
Query.prototype.findOneAndRemove,TRUE,select / delete,,
Model.findByIdAndUpdate,TRUE,select / update,,
Model.findOneAndReplace,TRUE,select / update,,
Model.findOneAndUpdate,TRUE,select / update,,
Query.prototype.findOneAndReplace,TRUE,select / update,,
Query.prototype.findOneAndUpdate,TRUE,select / update,,
Document.prototype.overwrite,TRUE,update,,
Document.prototype.replaceOne,TRUE,update,,
Document.prototype.update,TRUE,update,,
Document.prototype.updateOne,TRUE,update,,
Model.replaceOne,TRUE,update,,
Model.update,TRUE,update,,
Model.updateMany,TRUE,update,,
Model.updateOne,TRUE,update,,
Query.prototype.replaceOne,TRUE,update,,
Query.prototype.update,TRUE,update,,
Query.prototype.updateMany,TRUE,update,,
Query.prototype.updateOne,TRUE,update,,
Aggregate.prototype.addFields,TRUE,update,,
Mongoose.prototype.deleteModel,TRUE,,TRUE,
Mongoose.protoype.model,TRUE,,,
Schema.prototype.add,TRUE,,TRUE,
Schema.prototype.pick,TRUE,,TRUE,
Schema.prototype.remove,TRUE,,TRUE,
Connection.prototype.collection,TRUE,,TRUE,
Connection.prototype.createCollection,TRUE,,TRUE,
Connection.prototype.deleteModel,TRUE,,TRUE,
Connection.prototype.dropCollection,TRUE,,TRUE,
Connection.prototype.dropDatabase,TRUE,,TRUE,
Connection.prototype.model,TRUE,,TRUE,
Document.prototype.$ignore,TRUE,,TRUE,
Document.prototype.set,TRUE,,,
Model.cleanIndexes,TRUE,,,
Model.discriminator,TRUE,,TRUE,
Model.ensureIndexes,TRUE,,,
Model.estimatedDocumentCount,TRUE,,,
Model.validate,TRUE,,,
Query.prototype.estimatedDocumentCount,TRUE,,,
Aggregate.prototype.append,TRUE,,,
SchemaType.prototype.immutable,TRUE,,TRUE,
SchemaType.prototype.index,TRUE,,TRUE,
SchemaType.prototype.required,TRUE,,TRUE,
SchemaType.prototype.sparse,TRUE,,TRUE,
SchemaType.prototype.text,TRUE,,TRUE,
SchemaType.prototype.unique,TRUE,,TRUE,
Model.createIndexes,TRUE,,,
Schema.prototype.requiredPaths, ,,,
Mongoose.prototype.connect,,,,
Mongoose.prototype.createConnection,,,,
Mongoose.prototype.disconnect,,,,
Mongoose.protoype.get,,,,
Mongoose.protoype.isValidObjectId,,,,
Mongoose.prototype.modelNames,,,,
Mongoose.protoype.now,,,,
Mongoose.protoype.plugin,,,,
Mongoose.protoype.pluralize,,,,
Mongoose.prototype.set,,,,
Schema.prototype.clone,,,,
Schema.prototype.eachPath,,,,
Schema.prototype.get,,,,
Schema.prototype.indexes,,,,
Schema.prototype.loadClass,,,,
Schema.prototype.method,,,,
Schema.prototype.path,,,,
Schema.prototype.pathType,,,,
Schema.prototype.plugin,,,,
Schema.prototype.post,,,,
Schema.prototype.pre,,,,
Schema.prototype.queue,,,,
Schema.prototype.set,,,,
Schema.prototype.virtual,,,,
Schema.prototype.virtualPath,,,,
Connection.prototype.close,,,,
Connection.prototype.get,,,,
Connection.protoype.getClient,,,,
Connection.prototype.modelNames,,,,
Connection.prototype.openUri,,,,
Connection.prototype.plugin,,,,
Connection.prototype.set,,,,
Connection.prototype.setClient,,,,
Connection.prototype.startSession,,,,
Connection.prototype.transaction,,,,
Connection.prototype.useDb,,,,
Connection.prototype.watch,,,,
Document.prototype.$isDefault,,,,
Document.prototype.$isDeleted,,,,
Document.prototype.$isEmpty,,,,
Document.prototype.$locals,,,,
Document.prototype.$markValid,,,,
Document.prototype.$op,,,,
Document.prototype.$parent,,,,
Document.prototype.$session,,,,
Document.prototype.depopulate,,,,
Document.prototype.directModifiedPaths,,,,
Document.prototype.equals,,,,
Document.prototype.getChanges,,,,
Document.prototype.init,,,,
Document.prototype.inspect,,,,
Document.prototype.invalidate,,,,
Document.prototype.isDirectModified,,,,
Document.prototype.isDirectSelected,,,,
Document.prototype.isInit,,,,
Document.prototype.isModified,,,,
Document.prototype.isSeleted,,,,
Document.prototype.markModified,,,,
Document.prototype.modifiedPaths,,,,
Document.prototype.parent,,,,
Document.prototype.populated,,,,
Document.prototype.toJSON,,,,
Document.prototype.toObject,,,,
Document.prototype.toString,,,,
Document.prototype.unmarkModified,,,,
Document.prototype.validate,,,,
Document.prototype.validateSync,,,,
Model.init,,,,
Model.inspect,,,,
Model.listIndexes,,,,
Model.prototype.model,,,,
Model.startSession,,,,
Model.syncIndexes,,,,
Model.translateAliases,,,,
Model.watch,,,,
Query.prototype.Symbol.asyncIterator,,,,
Query.prototype.allowDiskUse,,,,
Query.prototype.batchSize,,,,
Query.prototype.cast,,,,
Query.prototype.catch,,,,
Query.prototype.center,,,,V
Query.prototype.collation,,,,
Query.prototype.comment,,,,
Query.prototype.cursor,,,,
Query.prototype.error,,,,
Query.prototype.exec,,,,
Query.prototype.explain,,,,
Query.prototype.geometry,,,,
Query.prototype.getFilter,,,,
Query.prototype.getOptions,,,,
Query.prototype.getPopulatedPaths,,,,
Query.prototype.getQuery,,,,
Query.prototype.getUpdate,,,,
Query.prototype.gt,,,,
Query.prototype.gte,,,,
Query.prototype.hint,,,,
Query.prototype.in,,,,
Query.prototype.intersects,,,,
Query.prototype.j,,,,
Query.prototype.lean,,,,
Query.limit,,,,
Query.prototype.lt,,,,
Query.prototype.lte,,,,
Query.prototype.map,,,,
Query.prototype.maxDistance,,,,
Query.prototype.maxScan,,,,
Query.prototype.maxTimesMS,,,,
Query.prototype.maxscan,,,,V
Query.prototype.merge,,,,
Query.prototype.mod,,,,
Query.prototype.mongooseOptions,,,,
Query.prototype.ne,,,,
Query.prototype.nearSphere,,,,
Query.prototype.nin,,,,
Query.prototype.post,,,,
Query.prototype.pre,,,,
Query.prototype.projection,,,,
Query.project.read,,,,
Query.prototype.readConcern,,,,
Query.prototype.regex,,,,
Query.prototype.select,,,,
Query.prototype.selected,,,,
Query.prototype.selectedExclusively,,,,
Query.prototype.selectedInclusively,,,,
Query.prototype.session,,,,
Query.prototype.set,,,,
Query.prototype.setOptions,,,,
Query.prototype.setQuery,,,,
Query.prototype.setUpdate,,,,
Query.prototype.size,,,,
Query.prototype.skip,,,,
Query.prototype.slaveOk,,,,
Query.prototype.slice,,,,
Query.prototype.snapshot,,,,
Query.prototype.sort,,,,
Query.prototype.tailable,,,,
Query.prototype.then,,,,
Query.prototype.toConstructor,,,,
