project_name,locs,stars,files,database_accesses_found,commit_checkout
freeCodeCamp/freeCodeCamp,53345,335035,622,23,bd7bf6971f7bd0460211f9c2173b1c39da090687
freeCodeCamp/pantry-for-good,54502,360,453,162,b42e9ff4438f43507a8039dc71831f4ca68a2437
freeCodeCamp/meeting-for-good,6119,338,77,32,34a12bdd48c7ca2e3d02612398e5c0b6aa6b8831
zeit/next.js,107610,76722,3880,8,35a02d97b7b0d6672311eba4dac1833b65e55b6e
zeit/vrs,17556,399,45,5,e0fe8e8d1bb86bbb5e97d8cf2fb143bc63e7c640
Automattic/mongoose,87763,23484,493,282,8066fd268fb23cc43e1ea83584ac389f7506431b
Automattic/monk,1624,1843,16,2,f5ce42247398a956b66fc5cb96023df465e18c64
YMFE/yapi,34337,22990,242,221,8e1f6546d52ad6a3f8d3ce3325eb1d0276209f4c
NodeBB/NodeBB,84446,12246,702,252,072a0e32d80d6270fd05817883ea0318d7388d4e
relax/relax,31574,8275,551,150,55a409d23acfcf0dd6c6819528d994795536ee94
HabitRPG/habitica,106789,8635,1116,745,7433eeb883887921f3d1406694789e0fce45ec49
fzaninotto/uptime,4442,3611,63,126,e2f6bfe42da7b9e8e1416cf9e0668fd9fb5e4294
bitpay/bitcore,105194,4181,818,361,cf5074cbcbef27148751139d1831c69c386f1240
bitpay/bitcore-wallet-service,28552,589,78,117,750172ff7c508a41e612e5ca037094d967964383
dresende/node-orm2,18538,3062,116,20,545ff8140ef28ff3ebc7435a0d7c3a0b5cebeb18
mongo-js/mongojs,2385,1781,84,71,df1fb993c379ff48537d3028f6722eaf6f5db014
DemocracyOS/democracyos,17512,1752,314,137,ad8627d2b6ccfcbe41941ff6f6bb3f65dbca0a11
webiny/webiny-js,28575,4792,1474,8,2593f45ddb4820e1d222ca62ff1adb32bc04d025
vitmalina/w2ui,110594,1937,127,21,6607ab7a1bf20e8a6788dd99ac24eba46d7fac8c
kissjs/node-mongoskin,1110,1545,30,12,60d677e287c8841fd5aa028b4a5ed6e4a6108467
diegohaz/rest,2732,1652,41,1,af80161cabf2e2c4500f336f33d2ed82ffb7e933
variety/variety,894,1584,21,91,a6731b4b944881e866e699460e22fa1369e97b51
bipio-server/bipio,11638,882,77,71,a13b03e6f15748365015b6750e22c2e8d4ac0517
rgarcia/dochub,12145,793,69,1,2cbe62ec86aef0cf41897523d46e3685cf4d5a36
alabid/flylatex,150089,768,100,43,2325bd30a0ca4a47a40da6e077577387ace10dd0
ircanywhere/ircanywhere,29554,742,84,56,c9239f87885b82b0b369c3fd4e0ed2b1f14f2f4b
christianalfoni/webpack-bin,57187,721,194,26,97c9dfe0f6cddba69b85ae4b0b7d03b5dc82ab4e
wesbos/Learn-Node,5278,1024,182,351,b5090bd3899dd2f20aee45637b461614c5f589f5
rickyrauch/nodejs-starter,538,652,23,8,ae5c9d5f09b888e05ba7b02f3da8ca3f7b6193d2
florianholzapfel/express-restify-mongoose,9855,638,40,3,a70bbf2e21f1fc56cb0db56eeee1427cf40f73a8
weseek/growi,25331,960,330,288,9019381907446705d7994ba46153e2790e7c158e
benas/gamehub.io,135887,622,466,26,e60645f366cd33f895c5af70e7e26705b0b46fe6
rain1017/memdb,6648,595,54,36,bded437d0e6aa286ec15238c71a91f96ded8e14e
addyosmani/backbone-boilerplates,13099,491,62,17,23aea6bb458ea643d364a08a67b5f90f22ccc610
burakson/sherlogjs,610,474,13,10,019ec3a8b5464329d6fbe5c175fd1b26e3f82480
